Compound Name,Mechanism of Action
6-Mercaptopurine,"Mercaptopurine competes with hypoxanthine and guanine for the enzyme hypoxanthine-guanine phosphoribosyltransferase (HGPRTase) and is itself converted to thioinosinic acid (TIMP). TIMP inhibits several reactions that involve inosinic acid (IMP), such as the conversion of IMP to xanthylic acid (XMP) and the conversion of IMP to adenylic acid (AMP) via adenylosuccinate (SAMP). Upon methylation, TIMP forms 6-methylthioinosinate (MTIMP) which inhibits glutamine-5-phosphoribosylpyrophosphate amidotransferase in addition to TIMP. Glutamine-5-phosphoribosylpyrophosphate amidotransferase is the first enzyme unique to the _de novo_ pathway for purine ribonucleotide synthesis. According to experimental findings using radiolabeled mercaptopurine, mercaptopurine may be recovered from the DNA in the form of deoxythioguanosine. In comparison, some mercaptopurine may be converted to nucleotide derivatives of 6-thioguanine (6-TG) via actions of inosinate (IMP) dehydrogenase and xanthylate (XMP) aminase that convert TIMP to thioguanylic acid (TGMP).

The pathogenesis of several neurodegenerative diseases often involves the microglial activation and associated inflammatory processes. Activated microglia release pro-inflammatory factors that may be neurotoxic. 6-Mercaptopurine (6-MP) is a well-established immunosuppressive drug. Common understanding of their immunosuppressive properties is largely limited to peripheral immune cells. However, the effect of 6-MP in the central nervous system, especially in microglia in the context of neuroinflammation is, as yet, unclear. Tumor necrosis factor-alpha (TNF-a) is a key cytokine of the immune system that initiates and promotes neuroinflammation. The present study aimed to investigate the effect of 6-MP on TNF-a production by microglia to discern the molecular mechanisms of this modulation. Lipopolysaccharide (LPS) was used to induce an inflammatory response in cultured primary microglia or murine BV-2 microglial cells. Released TNF-a was measured by enzyme-linked immunosorbent assay (ELISA). Gene expression was determined by real-time reverse transcription polymerase chain reaction (RT-PCR). Signaling molecules were analyzed by western blotting, and activation of NF-kB was measured by ELISA-based DNA binding analysis and luciferase reporter assay. Chromatin immunoprecipitation (ChIP) analysis was performed to examine NF-kB p65 and coactivator p300 enrichments and histone modifications at the endogenous TNF-a promoter. Treatment of LPS-activated microglia with 6-MP significantly attenuated TNF-a production. In 6-MP pretreated microglia, LPS-induced MAPK signaling, I?B-a degradation, NF-kB p65 nuclear translocation, and in vitro p65 DNA binding activity were not impaired. However, 6-MP suppressed transactivation activity of NF-?B and TNF-a promoter by inhibiting phosphorylation and acetylation of p65 on Ser276 and Lys310, respectively. ChIP analyses revealed that 6-MP dampened LPS-induced histone H3 acetylation of chromatin surrounding the TNF-a promoter, ultimately leading to a decrease in p65/coactivator-mediated transcription of TNF-a gene. Furthermore, 6-MP enhanced orphan nuclear receptor Nur77 expression. Using RNA interference approach, we further demonstrated that Nur77 upregulation contribute to 6-MP-mediated inhibitory effect on TNF-a production. Additionally, 6-MP also impeded TNF-a mRNA translation through prevention of LPS-activated PI3K/Akt/mTOR signaling cascades. These results suggest that 6-MP might have a therapeutic potential in neuroinflammation-related neurodegenerative disorders through downregulation of microglia-mediated inflammatory processes.

Mercaptopurine (6-MP) competes with hypoxanthine and guanine for the enzyme hyphoxanthine-guanine phosphoribosyltransferase (HGPRTase) and is itself converted to thioinosinic acid (TIMP). This intracellular nucleotide inhibits several reactions involving inosinic acid (IMP), including the conversion of IMP to xanthylic acid (XMP) and the conversion of IMP to adenylic acid (AMP) via adenylosuccinate (SAMP). In addition, 6-methylthioinosinate (MTIMP) is formed by the methylation of TIMP. Both TIMP and MTIMP have been reported to inhibit glutamine-5-phosphoribosylpyrophosphate amidotransferase, the first enzyme unique to the de novo pathway for purine ribonucleotide synthesis. Experiments indicate that radiolabeled mercaptopurine may be recovered from the DNA in the form of deoxythioguanosine. Some mercaptopurine is converted to nucleotide derivatives of 6-thioguanine (6-TG) by the sequential actions of inosinate (IMP) dehydrogenase and xanthylate (XMP) aminase, converting TIMP to thioguanylic acid (TGMP). Animal tumors that are resistant to mercaptopurine often have lost the ability to convert mercaptopurine to TIMP. However, it is clear that resistance to mercaptopurine may be acquired by other means as well, particularly in human leukemias. It is not known exactly which of any one or more of the biochemical effects of mercaptopurine and its metabolites are directly or predominantly responsible for cell death.

Inflammatory bowel disease is characterized by chronic intestinal inflammation. Azathioprine and its metabolite 6-mercaptopurine (6-MP) are effective immunosuppressive drugs that are widely used in patients with inflammatory bowel disease. ... Azathioprine and 6-MP have been shown to affect small GTPase Rac1 in T cells and endothelial cells, whereas the effect on macrophages and gut epithelial cells is unknown. Macrophages (RAW cells) and gut epithelial cells (Caco-2 cells) were activated by cytokines and the effect on Rac1 signaling was assessed in the presence or absence of 6-MP.   Rac1 is activated in macrophages and epithelial cells, and treatment with 6-MP resulted in Rac1 inhibition. In macrophages, interferon-gamma induced downstream signaling through c-Jun-N-terminal Kinase (JNK) resulting in inducible nitric oxide synthase (iNOS) expression. iNOS expression was reduced by 6-MP in a Rac1-dependent manner. In epithelial cells, 6-MP efficiently inhibited tumor necrosis factor-a-induced expression of the chemokines CCL2 and interleukin-8, although only interleukin-8 expression was inhibited in a Rac1-dependent manner. In addition, activation of the transcription factor STAT3 was suppressed in a Rac1-dependent fashion by 6-MP, resulting in reduced proliferation of the epithelial cells due to diminished cyclin D1 expression. These data demonstrate that 6-MP affects macrophages and gut epithelial cells beneficially, in addition to T cells and endothelial cells. Furthermore, mechanistic insight is provided to support development of Rac1-specific inhibitors for clinical use in inflammatory bowel disease."
61Cu-NODAGA-LM3,Drug not found in PubChem
6-Thio-2'-Deoxyguanosine,Mechanism of Action section not found
64Cu-Dotatate,"The main target of the positron-emitting Copper Cu 64 dotatate is somatostatin receptor type 2 (SSTR2). SSTR2 is frequently overexpressed in malignant neuroendocrine cells; therefore, accumulation of the radionuclide at the site permits PET imaging to occur."
64Cu-LLP2A,Drug not found in PubChem
64Cu-PORPHYSOMES,Drug not found in PubChem
7MW4911,Drug not found in PubChem
64Cu-SAR-bisPSMA,Drug not found in PubChem
80 mCi NYMO32,Drug not found in PubChem
89Zr-DFO-girentuximab,Drug not found in PubChem
89Zr-Girentuximab,Drug not found in PubChem
89Zr-LNCab002,Drug not found in PubChem
89Zr-LNCab072,Drug not found in PubChem
89Zr-LNCab103,Drug not found in PubChem
89Zr-LNCab104,Drug not found in PubChem
89Zr-LNCab190,Drug not found in PubChem
89Zr-Patritumab deruxtecan,Drug not found in PubChem
9%),Drug not found in PubChem
99mTc,Drug not found in PubChem
9MW2821,Drug not found in PubChem
A novel hGIIA-Vimentin Inhibitor,Drug not found in PubChem
9-ING-41,Mechanism of Action section not found
A-DOTA-dPNE,Drug not found in PubChem
AAA617,Drug not found in PubChem
AAA817,Mechanism of Action section not found
AB248,Drug not found in PubChem
AB821,Drug not found in PubChem
AB001,Mechanism of Action section not found
ABBV-291,Drug not found in PubChem
ABBV-155,Drug not found in PubChem
ABBV-324,Drug not found in PubChem
ABBV-637,Drug not found in PubChem
ABBV-453,Mechanism of Action section not found
ABBV-706,Drug not found in PubChem
ABBV-901,Drug not found in PubChem
ABBV-711,Drug not found in PubChem
ABL103,Drug not found in PubChem
ABL001/Asciminib,CID not found
ABO2203,Drug not found in PubChem
ABP1011T,Drug not found in PubChem
ABSK-011+BSC,Drug not found in PubChem
ABSK043 in combination with Glecirasib,Drug not found in PubChem
ABSK-011,Mechanism of Action section not found
ABSK131,Drug not found in PubChem
ABSK043 single agent,Drug not found in PubChem
ABX-001,Drug not found in PubChem
ABT-301,Drug not found in PubChem
ACE-232 tablets,Drug not found in PubChem
AD1208,Drug not found in PubChem
ACT001,Mechanism of Action section not found
ADC,Drug not found in PubChem
ADC + PD1 monoclonal antibody +anti-angiogenic drug,Drug not found in PubChem
ADC +anti-angiogenic drug,Drug not found in PubChem
ADG126,Drug not found in PubChem
ADT,Drug not found in PubChem
ADT for 2 years,Drug not found in PubChem
ADT for 9 months and ARTA for 6 months,Drug not found in PubChem
AG chemotherapy,Drug not found in PubChem
AG regimen,Drug not found in PubChem
AGEN2373,Drug not found in PubChem
AI-081,Drug not found in PubChem
AG,"The majority of released silver ions precipitate with chloride or phosphate anions or bind to albumins, macroglobulins, or tissue debris. While bound silver ions do not exert antibacterial actions, they may potentially play a role in silver toxicity in case of chronic exposure. Silver ions mediate antibacterial effects via disrupting the bacterial, fungal, and protozoal cell membranes; they bind to disulphide in membrane proteins, readily allowing penetration through the membranes and intracellular absorption via pinocytosis. They may also bind to negatively-charged peptidoglycans in the cell wall via electrostatic interactions, leading to disruption of membrane transport function and loss of structural integrity. Silver ions also bind to and oxidize sulphydryl groups (SH) in bacterial cytoplasmic enzymes to aberrate their function in metabolic processes. Silver nanoparticles may cause an increase in reactive oxygen species (ROS) inside the microbial cells leading to metal-induced oxidative stress and cell damage. They also modulate cellular signal system via inhibition of phosphorylation of essential bacterial proteins to eventually cause cell death. It is also reported that silver ions also attach to guanine in bacterial DNA, which inhibits DNA replication. While it is not fully understood, the mode of action of silver compounds in preventing and arresting dental caries is thought to involve inhibition of the demineralization process in addition to cytoplasmic and membrane function perturbation mentioned above. Silver compounds may directly interact with hydroxyapatite, a major tooth component.

Light catalyzes the reduction of silver salts deposited in skin to metallic silver & it /is/ subsequently oxidized to silver sulfide; it is the deposition of the latter compound which accounts for the gray discoloration pathognomonic of argyria. /Silver and compounds/

Silver nanoparticles (nano-Ag) are potent and broad-spectrum antimicrobial agents. In this study, spherical nano-Ag (average diameter = 9.3 nm) particles were synthesized using a borohydride reduction method and the mode of their antibacterial action against E. coli was investigated by proteomic approaches (2-DE and MS identification), conducted in parallel to analyses involving solutions of Ag(+) ions. The proteomic data revealed that a short exposure of E. coli cells to antibacterial concentrations of nano-Ag resulted in an accumulation of envelope protein precursors, indicative of the dissipation of proton motive force. Consistent with these proteomic findings, nano-Ag were shown to destabilize the outer membrane, collapse the plasma membrane potential and deplete the levels of intracellular ATP. The mode of action of nano-Ag was also found to be similar to that of Ag(+) ions ...  however, the effective concentrations of nano-Ag and Ag(+) ions were at nanomolar and micromolar levels, respectively. Nano-Ag appear to be an efficient physicochemical system conferring antimicrobial silver activities."
AK-1286,Drug not found in PubChem
AK104,Drug not found in PubChem
AK104 - Chemotherapy,Drug not found in PubChem
AK104 plus,Drug not found in PubChem
AK112 + paclitaxel,Drug not found in PubChem
AK112,Drug not found in PubChem
AK112 high dose,Drug not found in PubChem
AK112 low dose,Drug not found in PubChem
AK112 with SCRT and CapeOX,Drug not found in PubChem
AK112 with SCRT,Drug not found in PubChem
AK112+oxaliplatin+capecitabine,Drug not found in PubChem
AK117,Drug not found in PubChem
AK129,Drug not found in PubChem
AK130,Drug not found in PubChem
AK146D1 for,Drug not found in PubChem
AK138D1,Drug not found in PubChem
AL2846 Capsules,Drug not found in PubChem
AL2846 Placebo,Drug not found in PubChem
ALE.P03,Drug not found in PubChem
ALK202,Drug not found in PubChem
ALPS12,Drug not found in PubChem
ALTA3263,Drug not found in PubChem
ALX148,Drug not found in PubChem
ALX2004,Drug not found in PubChem
AMG 410,Mechanism of Action section not found
AMO959,Drug not found in PubChem
ANS03,Drug not found in PubChem
